title,title_link,company,summary,result-link-bar,tt_set,turnstileLink,slNoUnderline,date,salary,location
Senior Shipping Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6i7qTqBZWPxcTwJ5UOaG3prsB82qaynUynJcqEF41UaBzc9D3hAXhLxpdHD19-Yeg8H18yMbq4HsI24atacPeRizK2Q8UrvMEqpwbDIRY7xREk8EZMCQsIx2eTbycoro7NAFjiJ4_5KkYKQcCY8VXafsOxEUDBWqTLcRLV5nkPu1KbXLU-hap7m4OPa8NthgiJzLxSZp15MbiXqWq96vJ6gB-kjMGxAopBRpJbicvk13iZ_jsavEOU4ZR-V71WzmpN2KgF3W9GoL18F7wbBpkbOAxNmTvUci1s4kRg3zoA5GDvwtiM-g0FQpCzt0iKXI9GmBs1yrslN9Gsp8WqGLtFrC1JNWcOnc5nAg4ZrS3p_ZJxjkiNQpsb3UtN4MIbaPkQlgn7ucN58xswNLmlPoQ2ycS3LQ8_nVrrqOGfUNkDQk-_JWB6_-qwJz7h7dcRuw=&vjs=3&p=5&fvj=1,Your Special Delivery Service Inc.,"Process domestic and international shipments using FedEx/DHL/UPS software. Must be proficient in Mac OS X, have strong skills in Outlook & Word and have good knowledge of Excel & Power Point coupled with the ability to learn new software...",Sponsored - save job,save job,,,,,
Software Design Engineering Intern,https://www.indeed.com/company/Humanscale/jobs/Software-Design-Engineering-Intern-a2548282c1fdad8d?fccid=9ade95319a5a0818&vjs=3,Humanscale,"Knowledge in software development methodologies and software life cycle management. Create software requirement, design, user journey, system architecture document. We seek an exceptional individual to join the engineering team as a...",11 days ago   -  save job - more...,-  save job - more...,Humanscale,76 reviews,11 days ago,,"New York, NY 10010 (Gramercy area)"
Data Entry Professional,https://www.indeed.com/company/See-Management/jobs/Data-Entry-Professional-857c1daaeace0028?fccid=907e594a5f9b9ac0&vjs=3,See Management,Accurately enterinvoices into accounting software and filing them away. Sort and organize paperwork after entering data to ensure it is not lost....,2 hours ago   -  save job - more...,-  save job - more...,,,2 hours ago,$15 an hour,"New York, NY 10001 (Chelsea area)"
Back End Software Engineer (API),https://www.indeed.com/rc/clk?jk=046bde0efdfc9346&fccid=8e93e0f1981af822&vjs=3,EQUINOX,Back End Software Engineer (API). We dream big and don’t settle for the status quo. You have 3+ years of software engineering experience. Contribute to technical architecture to enable scalable and extensible solutions....,Equinox Fitness - 12 days ago   -  save job - more...,-  save job - more...,EQUINOX,856 reviews,12 days ago,,"New York, NY"
Fitch Solutions Software Engineer Summer Internship - Chicag...,https://www.indeed.com/rc/clk?jk=74a709d58163753e&fccid=883ea1bd73682d20&vjs=3,Fitch Solutions,"With innovation and experience behind every solution, Fitch Solutions helps financial professionals meet the diverse and evolving needs of today’s global markets. Maintain a complex single page app with modern build tools....",Fitch Group - 6 days ago   -  save job - more...,-  save job - more...,Fitch Solutions,92 reviews,6 days ago,,"New York, NY"
Software Engineer,https://www.indeed.com/rc/clk?jk=a7c1a4c58f7ed157&fccid=7ca1385998532a85&vjs=3,Conde Nast,"Big change are happening in publishing and at Condé Nast, and this is a great time to be a part of it all! Whatever hardware and software you need to be productive. What We Value. Condé Nast is looking for an ambitious, front-end focused,...",30+ days ago   -  save job - more...,-  save job - more...,Conde Nast,263 reviews,30+ days ago,,"New York, NY 10048"
Web Engineer- Creator Marketplace,https://www.indeed.com/rc/clk?jk=d5972fa891afcc07&fccid=fe404d18bb9eef1e&vjs=3,Spotify,"You will work with members of your team to build features and scalable architecture for web applications and services within Spotify. Collaborate with software engineers, product managers, designers, and analysts....",19 days ago   -  save job - more...,-  save job - more...,Spotify,40 reviews,19 days ago,,"New York, NY 10011 (Chelsea area)"
Front End Software Engineer,https://www.indeed.com/rc/clk?jk=972b15212a776808&fccid=f89deb5a97c7738a&vjs=3,Adobe,Passion and a love of what you do! We are looking for a talented Front End Software Engineer to join our team and make an impact to our web applications. Discover what our employees are saying about their career experiences through the...,30+ days ago   -  save job - more...,-  save job - more...,Adobe,535 reviews,30+ days ago,,"New York, NY"
Software Engineering Summer Intern - Real Estate and Develop...,https://www.indeed.com/rc/clk?jk=1b1b81f48b5369ef&fccid=e76dadb9a0d8a2cf&vjs=3,WeWork,"WeWork is the platform for creators, providing hundreds of thousands of members around the world with space, community and services that enable them to do what they love and create their life's work....",6 months ago   -  save job - more...,-  save job - more...,WeWork,108 reviews,6 months ago,,"New York, NY"
Software Engineering Intern,https://www.indeed.com/rc/clk?jk=0fe93b01fcab4d5c&fccid=ec7026b814653f27&vjs=3,Oath Inc,"Experience building or maintaining Big data & streaming systems (Hadoop, HDFS, Kafka, etc.). Design, develop, code and test software systems or applications for software enhancements and new products;...",5 months ago   -  save job - more...,-  save job - more...,Oath Inc,39 reviews,5 months ago,,"New York, NY 10024 (Upper West Side area)"
Java Developer,https://www.indeed.com/company/Tecraves-LLC/jobs/Java-Developer-242cdd02fb0fa232?fccid=c9ef4f0ce2c46188&vjs=3,Tecraves LLC,"Candidate Must Have 1 To 2 Years Experience In Following Technologies . Java Script . HTML 5 . CSS 3 . Java Programming . Basic understanding Agile methodology Job Type: Full-time Salary: $60,000.00 /year Experience: * Software...",7 days ago   -  save job - more...,-  save job - more...,,,7 days ago,"$60,000 a year","New York, NY"
Credentialing Specialist I,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bx9ZhvtS5vzjvxZe55Frm6iTy3G47heU3VsDw4ItoUfO5hk5cA2QYx-2ybdw_Vhni9Mnb7TJpsFUFHZwaZBKmwD8-I-NODePkpa0aG2inMLsADD70Bkv2MN9wqISR9qdsdFQ0yF0uMWrzFOlHXVLQCotPYm1gqYRhJLSpzrQ9x16fRtNJ8Uh2vb6M7gdV6Nd9gYCxJiYh1sypfFRDu8Df1QoK-UvGhwatfBYodmpjqah8kXMFlATdOY0mML4NfQ9axX5Eo-dxPG0qHhlwC8kEOopm00Kc5m18Nyyw3xRjF3rkJLd4M58fiD0vAW7t1I63F85Es_SUgSzEWKlnIGahXJrnPFHa8FWYVTrgVP5-0qJzFD0VIN4I0syHscUDQz3eidIKnB3--_LU8lxWvzaayyO4MrTby_hWn8oMVyL5ZEfJSUbpRCAtb&vjs=3&p=1&fvj=1,"The Greeley Company, LLC","Populate, maintain, and update credentialing software including accountability for the integrity of credentialing information they enter into the credentialing data tracking system, Intellicred....",Sponsored - save job,save job,"The Greeley Company, LLC",7 reviews,,"$70,000 a year",
Filling Representative ( NYC DOB Class 1 or Class 2 ),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al91vdVlEhu6yPN_5qucXobtqAzTnt_58N6B6xkzI55YPs9f3Z8vMpf40V9V7H-bTakERsW0mkQgEsv4OkQi7nyeS_OB3p5RmjrFU589VHrqGSIpHKiur9cDJexfKknORo0RnO5jqp0w4VslCJ-HTiICXbKMrlG4lWZQS2jmCzrpLe6Qdsxe2TUrYd4ppQzugOfYGPhDrg_zoYjKJZsBGnpDcGC6mdOVjNWYuYsP51DPQLueWSPOlKmKnkhKCRdajL9mo-j9qryI_fVb9r2yj5GZDXgkMSizMLiXZq2EFqKWpO7cIRriijcMenL0TRi2cKPuFp7vpqKF897rdjArEnyfUiciyrtxptYdmS8NuzCIBfz25sYLbD4K6C2kgtic2SVgB6c_-0wUUm6yKChiQlEcjNMWapa81VLM4h4uFU5B4ykuQIh5QXBHXcrHYU3DcwzE99v61WYtamBsB_XF1xYfvwmxZIeMc=&vjs=3&p=2&fvj=1,"Node Architecture, Engineering, Consulting, PC","Prepare Daily Email Summary with approvals/disapprovals and send to clients and project team. Update Firms Project Software Dashboard and associated filling task with filling progress, status, and /or reason for a delay....",Sponsored - save job,save job,,,,"$45,000 - $65,000 a year",
C++ Software Engineer Working With Capital Markets Data,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AjULfny9BvN587lG20JwU9_jAb5QRvTFDYQSY61gRLj5OPKGkY63KFGRcKOHuXVIt-Wq8V3rQsni7om2mjdH8wHVDNRqts7K3svvJnfy-GVdQkyPtQgX2OwTaK9rTW7Sp8hxv_NUmPh7hbLCDHY3ecmvI0IRRLavb0JS9UikK48YPykSQheljmuytEXvyPYoY6MHifNOv0ghaLUW6KmahvVKILeU3hPJdFxxyY_kCTnQC2wfW6CW8LgXO8y7AlJgwUI8YcLCa8gH81PaJ5rMjyucT0L2lEMMyRybUwrKYJa-WQHZit-cKvXHiqj9seRgXcJ_2BOipMuAZeZmY97Ms-1ITsudBFLp_UvW9amIByPWRm8IRYVEy-QwyODkwIWQhJRxH6JastyX3C5RikX50PX9mizS3QB2Y3hNm1SLeLDH5gAeczFMfGzZL4ueBtwoFyb6dHCyMbjCOLSSkaFnte0p202DNcepw=&vjs=3&p=3&fvj=1,MayStreet,"Our software empowers these firms to thrive in the incredibly fast-paced environment of today's highly-distributed, highly-regulated, highly volatile global capital markets. With software engineering at its core, MayStreet recognizes and...",Sponsored - save job,save job,,,,,
Audit Data Strategy,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoeXR5WT-Xjoabt6ex_ZD8OLSX0DAIKxy6lvJqwaG6d4mIwGj9E-16_HYbdar4AR50Hyg6007N7YC59YN7DN44c3rDPU_zSdwYJ3y2Sesy7hRWmKPRqHJ3EAwJ5WgxwqIbRhMugAD79RtoTgazmpXFNR9bKy7a4iD-tHmvhHnZdmtjDvtLxjW4fXGvK1B8QzaCvEclLtJ80kVprANEhuAvHX440Hz2hiH1l3cmS52I1AgXT06pUN8fm_St9Num2LigGBYy-bBqJup2t1Uw0xoZBdo8vWgeXsNMyYjwcxHNkKOBOIGe8cQNc3wMV_8JqH1mWHWQA8Fp8ZMuUIxDOuy04wsZDccz7neufHpfZKGGzusYapH_0ME6wKnkSFUY0wSJq1dOX78orAGpw2is6euFDJCvp4B2FumINoCJP_iu8TUh-LReVLdUNYegLe_3FGA=&vjs=3&p=4&fvj=1,Project Resources Corporation,"Prior experience in BIG 4 or auditing is preferable. An understanding of basic financial analysis is a primary requirement, plus knowledge of predictive modeling tools and statistical software such as SAS, SPSS and R preferred....",Sponsored - 6 hours ago   -  save job,-  save job,,,6 hours ago,$50 - $100 an hour,
Crestron Programmer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhpounMX6nudINH2MVLHV8GBvwr7xQUcMRy4ROeA95vx216hNLlAq4SEii8UrpoAAGVeUTtuiv7qF7hpM2YyVjxxDMP4qljx2UXUpvdEs8QOc7m_zYLTq0yKnfJm8fSQnpf5EAvsn3Lrxpt70ouYS3O8xeFGKWWe4dFYNSMat5KxXaQF7yJlNpT7NOBKU9tvTt_ByTHPs2HYuWHYhwhR7u-UJ23s_uRweCfAA8LCcOupSacdVfW5U_LQvZERy6toZZ7VPNKCvf7GnfIjTEyeZyCWGYDPR4EkPtvpMIM0Vy0Kd2A_-6-OyavbJNlYEiLhv3SEnMfj2mfU8jqZeEt8rV9fQJcv_qOlzUHQiuU6OgL0DHnRM47JylA9lAUmz-UWPzkWTIPnnlN3_ZZtxxWk9jm92R4XR6ywT5tnZEbUgMuPG-IfJ2HpNg&vjs=3&p=5&fvj=1,SAGE AV,"Complete all project documentation, software set up, IP information, passwords and lighting system software information. Programming Crestron software. In order to be considered for this position you will have completed at least one...",Sponsored - save job,save job,,,,,
Mail Clerk,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B56ul17qDHKh54QPdR1VZj_vaHnneinskuYHIoS9ojJ8SFXjH-7a6sMBpheUaKsEYDo89KUaehj7HcohPnvWKpXMEblmMu7J7ovi8L73VAbtLKRZ7shC576IXN2lpyJG2FBlARtFnj9r-dGz_TKZLuXGyJpoEAWfkF2_Nkq5dIKpx8tOXS_lly_FmH9w2eYoICs-EYq39hLbzPbTwNeGRrn5uYZcxHYPG0X7FFoNXMnse8I4nPaK6rYdtPaZGS51Hlff0engcF9Vr9MuxuVnZL98TX1I9AiGrAbK1LBFk-GGzYhAhhxQeLi6g4M99jJ7KgbcPvICs8l9OEfb6mX37yPy_lOMJGFHJQJ2BzeUKvWN11BsQUukSAEEAYJataX8rwTAWkU4HQ-SXnmdWCrf2p-Q1s454x_Qs=&vjs=3&p=1&fvj=1,UG2,"Proficiency in MS Office software with the ability to generate spreadsheets, graphs, reports. UG2 is searching for a mail clerk to work as part of UG2 facilities services team at the New York Foundling....",Sponsored - save job,save job,UG2,6 reviews,,,
"Network Engineer, Backend Backbone",https://www.indeed.com/rc/clk?jk=6d3f9862992e9d53&fccid=a5b4499d9e91a5c6&vjs=3,Google,"Experience programming in some subset of Python, C++, Java, or Perl. The Network Engineering team is responsible for designing, building, and operating that network reliably and at scale....",30+ days ago   -  save job - more...,-  save job - more...,Google,"2,929 reviews",30+ days ago,,"New York, NY 10011 (Chelsea area)"
Software Engineering Summer Intern - Product Offerings & Gro...,https://www.indeed.com/rc/clk?jk=8be008f85e71cc9d&fccid=e76dadb9a0d8a2cf&vjs=3,WeWork,"WeWork is the platform for creators, providing hundreds of thousands of members around the world with space, community and services that enable them to do what they love and create their life's work....",6 months ago   -  save job - more...,-  save job - more...,WeWork,108 reviews,6 months ago,,"New York, NY"
Staff Software Engineer,https://www.indeed.com/rc/clk?jk=1e2ee215ac5d477c&fccid=a5b4499d9e91a5c6&vjs=3,Google,"Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Design, develop, test, deploy, maintain and improve software....",4 months ago   -  save job - more...,-  save job - more...,Google,"2,929 reviews",4 months ago,,"New York, NY 10011 (Chelsea area)"
Software QA Analyst,https://www.indeed.com/rc/clk?jk=9e8fab52df4e67c2&fccid=5551312f0bfb4c11&vjs=3,"SAM Consulting Services, Inc.","Software QA Analyst. Mid Level Software QA Analyst:. Must have at least 3 years of recent professional software Quality Assurance experience in Fianace industries. Plan, schedule, and test software to ensure products meet design...",30+ days ago   -  save job - more...,-  save job - more...,,,30+ days ago,"$50,000 - $60,000 a year","Manhattan, NY"
"Software Engineer, Android",https://www.indeed.com/rc/clk?jk=d2019f7de7c9b796&fccid=35d653c09c2712b6&vjs=3,NBCUniversal,NBCUniversal is seeking an experienced Software Engineer for Android who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our news...,30+ days ago   -  save job - more...,-  save job - more...,NBCUniversal,"1,971 reviews",30+ days ago,,"New York, NY"
Web Developer Intern,https://www.indeed.com/company/The-Art-Related-Things/jobs/Web-Developer-Intern-67b03eec31ca90e9?fccid=9db090317f698a67&vjs=3,The Art Related Things,Experience in planning and delivering software platforms used across multiple products and organizational units. Strong grasp of security principles and how they apply to E-Commerce applications. Equivalent to college credits....,5 days ago   -  save job - more...,-  save job - more...,,,5 days ago,,"Brooklyn, NY"
QA Tester Spring/Summer INTERNSHIP,https://www.indeed.com/company/Roomster/jobs/QA-Tester-Spring-Summer-Internship-cb2455c7b738853d?fccid=97016c142a7b6c4c&vjs=3,Roomster,"Find and report bugs depending on the software and design specs,. You will be getting hands-on experience with day to day operations of software development, infrastructure, and testing. Think about what we can improve and improve it,....",24 days ago   -  save job - more...,-  save job - more...,,,24 days ago,,"New York, NY 10013 (Tribeca area)"
Software Engineers,https://www.indeed.com/rc/clk?jk=826a1a5fd9644d8b&fccid=4ccb31df940e4ea2&vjs=3,Two Orioles,"To apply, please send your resume and optional cover letter. Experience with C++ and/or C programming languages....",28 days ago   -  save job - more...,-  save job - more...,,,28 days ago,,"Manhattan, NY"
Software Engineer - C# and Python,https://www.indeed.com/company/Quadlogic-Controls-Corp./jobs/Software-Engineer-adf36be4e3028473?fccid=ee71542c76966493&vjs=3,Quadlogic Controls,"Minimum 2 years of experience in Software Development or a related field. Quadlogic is seeking an Software Engineer with experience in C# and Python to support our Engineering team. Our team is passionate, supportive and knows how to have...",17 days ago   -  save job - more...,-  save job - more...,,,17 days ago,"$60,000 - $90,000 a year","New York, NY 10018 (Clinton area)"
"Software Engineer - Machine Learning, Uber Eats",https://www.indeed.com/rc/clk?jk=68977ffef824fa3c&fccid=f766f8bfbc3effb7&vjs=3,Uber,"You have experience with both machine learning and building scalable production services. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world....",5 months ago   -  save job - more...,-  save job - more...,Uber,541 reviews,5 months ago,,"New York, NY 10018 (Clinton area)"
Software Data Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BlrgrFrEpemNixPAG61kflGlilJD9shIeb2__xeshlUZl_Nc9t8jnNgDiG_J4M72nSPCtAZXWTIUs3fWq5v4Pk8SjFupEa_YsGbBIUoXSeDeL6rI8YbTH5V7_ZWRYmydgJDJB2kzzcNkcocx86gydlCne3XPJzB9hMdzlMhqXum-Day4FbWhyJ8J7SPYnAS1HTtvSqBtMXI5X_K2yETQ4O0daNTzC-OFD9Djdn0IptBIr2s6AseBa7eLNo2ckuuOJ2U5CBQ1x3ASiDnzTxw8Q5K4VmZQckkUxQh_zqNjsCUsYAqKqAwzxPFw0HyNCY-LayARapbGUs-Vz1Bgnvj2nPjbsXrQRnPhjFkhjrvu8AFL0lbFtfDN981kfx5OdKVK4=&vjs=3&p=2&fvj=0,1010data,"1010data travels at the speed of thought to make Big Data discovery easy; As Software Data Engineer at 1010data, you will build and manage large scale ELT processes, managing data assets that we either create or administer for our clients....",Sponsored - save job,save job,1010data,5 reviews,,,
Dental Front Office,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMuCIvNPbz66YNZRgcR37UofQKRVr8URDJSKgzQ73U1NCNS--KarLwKPxjVyyqEA46CKmsIuUNZc5VDHb8_tb_2D3RmKzQuA7tKLAxLHL5CGuyL3LMl9bb9Hm0yMgixXidzf1MW0t2hF3m8FGG0GvBSybsdmtpjsdm0tcuBi9kDSh-lTRuWwgDqlnMbD7ATmG-_Iv1CxVz0e1KUgKMuIX95Mj7Cye9Q7SKhP1esYrmpihkFW3MzGml4bRTLJOXWZDxzCcV-xmZUQhub4fHS3xfqIEKtx0BU3cPOBtjuQZkaBfOwtoaM9vwAg-D34avQWoMdu7kzw5v_z6EuBGpjDJ-3BZJzOCN0WYe45hMnr9vTll7Q56FTMhAGwPGJP7Fo8QZCyeY4nlCCtUsbnhTYo31cUNOZTYil8u1MNgRGlowox17wZXv7RWZ&vjs=3&p=3&fvj=1,Midtown Manhattan Dental Office,"Professional training on the software will be provided as needed but you must have experience with any dental practice management software. If you feel that you are the person for this position, please send in your resume and cover letter....",Sponsored - 9 hours ago   -  save job,-  save job,,,9 hours ago,,
Ambulance Dispatcher,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AjOwEchyE5hckUojauce4gnMjiWQ91J_uEixflVqk-O74PxVgAhbxEUCCcq60T0wM31g2lVtkKpSnhMThMFJiv_hwKQFvG3Fy4DAynKL8CSfFGvsEG_GbC8P9l4-vQM68H520MSfaI2q9c9-Wdn6fQVy4FZi-NvPVOu3ulQ5sq7JlcSgNQuma8HaIMqss0mmf3NLS43Y6YN33HFe4k5l-GTr5BK62DQh30j69EQJcfcE1ID4S8kQA64RxAjfCqHZXtH68CMocCXL-vzZd61-XYaVfkBSdsQInzXi1jNcik-BQj1mmgzNALxOC6sqazhj95NwYQLVoMy3TflH8th0DOz9SGsnrUg379zvX5p3Sg9enlj3eSuBKixmfa8tGkQnr6KMc1HVOP5GrFcWAK1L9fzwKpKW6DcP-xTR8PFSDtMl5Zs-1RIXPbw6ejF1CbGLw=&vjs=3&p=4&fvj=1,Citywide Mobile Response,"Basic proficiency with computer applications and dispatching software experience desired. Citywide Mobile Response is a fast-growing Ambulance Service with over 50 years of service, based in the Bronx, focused on providing the next...",Sponsored - save job,save job,,,,,
Support Manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOpKpWpezo8w3QyaLMfeKNz9LDRzWlvUG4tBAmTxqUDBTbVAl0bMPc86P5bmuCd106Spe1slRmVv-r0YYLO9wVhF_a5OP2qP_eX-2l-JypriA3l-vLZe7Sr_U2Z0cpjtQchVTpk90xMW6fT76yS2EjLBXcUqUldmflFq5eh-DIXflI2IIGdm_Qu6iLs39o6wovuKhC4lFpOTFfLZ-L2NmB5Mu5yLBxiu_ta14vLx5N8UVP2yH5h6vve6T7eBE4DfPCdfajzvi0x9Y0xrltVX-85sx_KL7F5thpz4GdmmqZCXS7kzyq7GyihhlXDBj3q-U5oRmyQd4WwCVRxw7Uas-yTH87Gav_isEVtiks-BHOI8LTa25yf0c9WLFljAz3A6HfUDz3Hl39UkQ9wastOncKdlthkJWT1hHiKjMcwoHSmG5XgwpsyHR_&vjs=3&p=5&fvj=1,Leebro POS,"Maintain knowledge related to our suite of hardware, software, and services. We recognize how integral each team member is to our growth and success, so we place great importance on finding the right match....",Sponsored - save job,save job,,,,"$65,000 - $75,000 a year",
E-Commerce Fulfillment & Inventory Manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWpeSl_ER4NdqcXH_3yJS7LPJ7dzxO3_hG4DJYScDBUyNPpixOty3Nsjb2FGDAh4Ea0V1ivcVDZ1c-dZMqFYokViX_hyiSbwZBfbHyPYYeWgIneUS_sTXIv_bBJe0stV4uuwp5enxMr7Q_8GV-pdPBgCZhk-TUXmLdAgOVfnxb50yXsb9DARmsdMhzv8Tp9YrMuL4Ra46wu85-lxSLL2Ef8l7kj0rZGcwfcmKK6VGhmw6ak_gKcrVrL3YwSLJCrXAaBRlha22QVQhv0BVq7lQemarb2KOO3vJnciehr9g1GUwT3qV-fjaOAEcewrB46MGaCfd_ArAQpRL7vvd08oziYs8iY9dfNj8lZVJpfo5qWXWlj1ZHnDxJxf0alsOAVR7atWrHB3o5B7LMFu2eQ-d9hVyJVzysXUGIp2tUJhMq2K97BchgELggJ8iRUK0qdY_KgEO6ApjugI6GD19QBOlh&vjs=3&p=1&fvj=1,PINTRILL,"Proficient ability with various business software suites in addition to background utilizing various warehouse management systems. Shipping, Receiving and Inventory management*....",Sponsored - save job,save job,,,,"$29,000 - $30,000 a year",
House of Highlights Intern,https://www.indeed.com/rc/clk?jk=12b24ac1a8f37fe7&fccid=cf8354c041eefc62&vjs=3,Bleacher Report,"Assist in refreshing HoH sales/brand materials, flagging needs for analytics updates, imagery and case-studies as needed. Experience using Google Software (Google Docs, Google Sheets, Google Forms, etc)....",25 days ago   -  save job - more...,-  save job - more...,Bleacher Report,41 reviews,25 days ago,,"New York, NY 10011 (Chelsea area)"
Software Engineer Intern,https://www.indeed.com/rc/clk?jk=94c53733b3030eee&fccid=b909eaba32633189&vjs=3,Dotdash,"This team is responsible for building cloud infrastructure, software development life-cycle tooling and the cloud service orchestration platform used by our developers to build and maintain their systems....",30+ days ago   -  save job - more...,-  save job - more...,Dotdash,3 reviews,30+ days ago,,"New York, NY"
Inventory Associate - Comic Book & Comic Art Dealer,https://www.indeed.com/company/Metropolis-Collectibles/jobs/Inventory-Associate-b0d9914fcb49597f?fccid=246550d72d786a8b&vjs=3,Metropolis Collectibles / ComicConnect,Learning company inventory software. Paid health benefits when available and paid time off after a three month trial period. This position entails handling rare and vintage comic books and comic art....,3 days ago   -  save job - more...,-  save job - more...,,,3 days ago,,"New York, NY"
"Software Engineer, Strategy",https://www.indeed.com/rc/clk?jk=96c3ebe411a41a1b&fccid=9129ee712d1ee91f&vjs=3,Warby Parker,"(We're big believers that businesses can scale and be profitable while doing good in the world.). Backed by a strong understanding of software engineering principles and fundamentals, from data structures to algorithms....",30+ days ago   -  save job - more...,-  save job - more...,Warby Parker,61 reviews,30+ days ago,,"New York, NY 10003 (Greenwich Village area)"
Fintech Developer (Cross-Platform Applications) Desktop&Mobi...,https://www.indeed.com/company/Analyze-Corporation/jobs/Fintech-Developer-Desktop&Mobile-Application-e02e25c0f58134a9?fccid=31bb6ad7e3ec7881&vjs=3,Analyze,Looking for Experienced Programmers who are experienced with create software and design from scratch as well as building a team. A Platform must be created to connect fiduciary advisors to clients and manage their financial profiles....,7 days ago   -  save job - more...,-  save job - more...,,,7 days ago,$25 - $50 an hour,"Queens, NY"
"Consultant, Software Engineer",https://www.indeed.com/rc/clk?jk=2ba22637bac063bc&fccid=10b5c722d846df43&vjs=3,MasterCard,"Consultant, Software Engineer. Java, J2EE, Spring Framework (Spring MVC, Spring Security, Aspects, etc.), JPA, JSF, Junit, Web Services (SOAP & REST), JSON/XML, JBoss, Log4j, Eclipse STS, SQL, Oracle DB Server, Redis,....",6 days ago   -  save job - more...,-  save job - more...,MasterCard,509 reviews,6 days ago,,"New York, NY 10011 (Chelsea area)"
Backend Software Engineer,https://www.indeed.com/rc/clk?jk=0ce606665bf40308&fccid=80567922b6e76cbb&vjs=3,AC Lion (2),"Google cloud - pubsub, k8s, big query, big table, app engine, cloud cdn, ML engine, Auto ML, data prep, google cloud build, it might be easier to talk about what we don't use to be honest. Fundamental understanding of git, GitHub, branching...",8 days ago   -  save job - more...,-  save job - more...,,,8 days ago,,"New York, NY"
Full Stack Software Engineer,https://www.indeed.com/rc/clk?jk=c80d695436b76f2c&fccid=599e06d73fa2bb95&vjs=3,TodayTix,"You will build and maintain applications that power the growth of the global TodayTix platform, participate in technical design discussions, constructive code review, and have the opportunity to contribute production code across our stack....",7 days ago   -  save job - more...,-  save job - more...,,,7 days ago,,"New York, NY 10018 (Clinton area)"
Trading Intern -- Summer 2019,https://www.indeed.com/rc/clk?jk=dbcc021ae81ca2aa&fccid=7ae2ff05647a5dab&vjs=3,Five Rings Capital,"Must have basic software development skills. Our experienced traders and software developers teach new employees extensively, both hands-on and in classroom settings. Trading Interns have exceptional quantitative skills and a quantitative...",30+ days ago   -  save job - more...,-  save job - more...,Five Rings Capital,3 reviews,30+ days ago,,"New York, NY"
Analyst Applications,https://www.indeed.com/rc/clk?jk=dec1fbde8a60fe7a&fccid=6f31e2074a3d8a7b&vjs=3,Northwell Health,"Reviews software problems, analyzes issues and develops potential solutions. Documents all software problems, solutions and outcomes for future reference. Applies technical expertise in file/screen building, report writing and maintaining...",5 days ago   -  save job - more...,-  save job - more...,Northwell Health,999 reviews,5 days ago,,"New York, NY 10022 (Midtown area)"
Dispatcher,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZquQYB1i9YA7au_hBgPS5guM03xqUgZh5k9zt1s7bKXxU3-Gp2hPMyKm3aVOdVZXiSf4vFKwC6dc22pLLJROCuHL5lOPsewDSYjdQzQv2NP3VZsXvfTdtN9IJKySb7Mnzt_aUhNxBX8gnBzeL68GJ39rjaYP_XUMl_Kfuyo4NMMASDL2MYQywBfr6HMV-IohjJ_iaaE6ikCJI8lntPfSzSm35B67r9HVjrULnBnEUa6JkX2MXuuruaCG4Kj5VicyIgUBgBJzktP-xCIZdG1PLuESxjiEnYaiH9LGZxLoPbEAsEFuRRAW38Ni3gu9McWo182oP_Diah0Nffg-h31nrlnh5v9OXHJunFxt4dS0Q0t_VO8RYOvOQ-nheD4ayz7GRql3PYcFPlsDbhoJvqsd6EYMTmzCwPNhYdAYQHENz3Mt9_ikrP5VXPFDm8qR2EIrRFv3kZ0I7LdWvERSwx_U5EQtbSRvHjlg=&vjs=3&p=2&fvj=0,QBS,Computer literate with Office and WinTeam software. Data entry of work orders and managing time and payroll information in WinTeam software. Quality Building Services is an Equal Opportunity Employer committed to hiring a diverse workforce....,Sponsored - save job,save job,QBS,15 reviews,,,
